,a11,a12,a21,a22,mu1,sigma1,mu2,sigma2,p_val
2020-01-02,0.9124220458771183,0.0875779541228817,0.04015338384499027,0.9598466161550098,0.983270158463514,0.041510694309184686,1.259339697680328,0.07917476235098254,0.0
2020-01-03,0.9684570489621356,0.03154295103786433,0.10451645199522096,0.895483548004779,0.9528793154849341,0.03827205193151568,1.2801954026268967,0.07795801399665131,0.0
2020-01-06,0.2604996629611991,0.7395003370388009,0.7593272134981486,0.24067278650185145,1.2181229556426645,0.07492246706041601,1.2183398570828188,0.07452733729758612,0.9978
2020-01-07,0.9098594525824634,0.09014054741753658,0.08697682180042335,0.9130231781995767,1.0625195304575574,0.0523472436759992,1.3934912585985615,0.0990415043074659,0.001
2020-01-08,0.9410218789609635,0.05897812103903662,0.010337336740569606,0.9896626632594303,0.9476118475916527,0.038608283158580545,1.2777654260478926,0.0646066717113709,0.0
2020-01-09,0.8667578855060892,0.1332421144939108,0.07942393980598535,0.9205760601940147,1.077817178208009,0.04801454638948769,1.3658378135008753,0.09558894801361836,0.0028
2020-01-10,0.9779127798237711,0.02208722017622886,0.10009710052687935,0.8999028994731207,0.9429569365188033,0.03570141355303335,1.249700347901321,0.06936825709457023,0.0
2020-01-13,0.8875626093718567,0.11243739062814323,0.09636572507171487,0.9036342749282852,0.9374582659978795,0.04139344376094588,1.3227344312752012,0.13359426168870034,0.004
2020-01-14,0.9346038074261199,0.06539619257388007,0.02542701298337353,0.9745729870166264,0.9513481553683166,0.038913643406226994,1.2130434989693566,0.061563320278713245,0.0
2020-01-15,0.9630970843973911,0.036902915602608964,0.11729473382754986,0.8827052661724502,0.9935233607127467,0.03692748357082198,1.23417514642514,0.06212375156932876,0.0002
2020-01-16,0.917289884167958,0.082710115832042,0.025435787542559162,0.9745642124574407,0.9810569833691197,0.038589189502874426,1.2024848992801211,0.0595171712769479,0.0
2020-01-17,0.9015275783636444,0.09847242163635557,0.15606251158298742,0.8439374884170124,1.0665836146886924,0.05639017384281421,1.3748523120480474,0.12558057081895407,0.0
2020-01-21,0.9313665222896743,0.06863347771032567,0.010937699570823835,0.9890623004291761,0.9436269209701214,0.03408238891312418,1.2209323753425971,0.04537608617997667,0.0
2020-01-22,0.0043332649547760315,0.995666735045224,0.9477969770159012,0.05220302298409876,1.2128048458817378,0.08606008515619495,1.2128917153208534,0.08538893654557367,0.9992
2020-01-23,0.9069401771704451,0.09305982282955495,0.02387787366764463,0.9761221263323554,0.9307842652952117,0.03146833475535995,1.2304195552146127,0.06705764089382404,0.0
2020-01-24,0.9198086147891259,0.080191385210874,0.01679532868502036,0.9832046713149796,0.9396599941331775,0.03206791522615276,1.245889208695965,0.054000360235385694,0.0
2020-01-27,0.9854889625523321,0.014511037447667916,0.4203853638979501,0.57961463610205,1.126882577264084,0.047600703241669325,1.5850461090459365,0.3497286762797707,0.0
2020-01-28,7.530599427401716e-78,1.0,0.4578201012277939,0.5421798987722061,1.0986122886681613,3.5282703906205466e-06,1.2880431691713754,0.07723796898656239,0.0
2020-01-29,0.8356331010220776,0.16436689897792242,0.02648829355930073,0.9735117064406993,1.0603286173036992,0.06218190948181308,1.4552213024861655,0.40080270803638207,0.3248
2020-01-30,0.7024247409842943,0.2975752590157057,0.0029715161309073167,0.9970284838690926,1.179135531562599,0.051835841563232905,1.9640413401811794,0.6432222142394194,0.2224
