,a11,a12,a21,a22,mu1,sigma1,mu2,sigma2,p_val
2020-01-02,0.9433144230218621,0.056685576978137975,0.2586447881606955,0.7413552118393045,0.03611565744395394,0.00011519867834571783,0.10653405402038978,0.008167491544596575,0.0
2020-01-03,0.7641156692200013,0.23588433077999868,0.07553686937365585,0.9244631306263442,0.03820631240899605,0.00011200217508004052,0.1390138720774548,0.010155770965152668,0.0
2020-01-06,0.9389325705179586,0.06106742948204129,0.2778411894480379,0.7221588105519622,0.03696658408358145,8.930844187692011e-05,0.12127290091684514,0.009513719095200105,0.0
2020-01-07,0.8037895871532665,0.19621041284673346,0.05866605058724025,0.9413339494127597,0.03491305798590408,9.565596440294909e-05,0.11990922028544661,0.008083011689890455,0.0
2020-01-08,0.9299425843865834,0.07005741561341658,0.154160447661554,0.845839552338446,0.04389743151778567,0.00019033654265244597,0.1507471154633631,0.011675223157990165,0.0
2020-01-09,0.9036062161804576,0.09639378381954242,0.20867711136127273,0.7913228886387274,0.039069735321976544,8.460333016604173e-05,0.11500743592720061,0.00585356142544347,0.0
2020-01-10,0.9181023998386384,0.08189760016136163,0.2678090857822638,0.7321909142177362,0.0404803683600124,0.000104536736945503,0.11608240882248796,0.005972174454371408,0.0
2020-01-13,0.9647720787573192,0.03522792124268086,0.09256414498598405,0.9074358550140159,0.04773803670135494,0.00027528383590598866,0.14604495622015382,0.010029079631974455,0.0
2020-01-14,0.7537338231206994,0.24626617687930077,0.04604072948118889,0.9539592705188111,0.04908986173673951,0.0002096092556364597,0.20646693114746825,0.0575995181144665,0.0064
2020-01-15,0.8835464696611217,0.11645353033887818,0.339215560997821,0.660784439002179,0.053959665070225496,0.0003274220467446398,0.23887464106853895,0.08209249660181848,0.0
2020-01-16,0.8501399384061351,0.14986006159386486,0.4316021120516553,0.5683978879483447,0.04397528380565864,0.00012502355838369222,0.1282131770035638,0.0067785105859729956,0.0
2020-01-17,0.6940658389801244,0.3059341610198756,0.09095274464407857,0.9090472553559215,0.03683465235634718,0.00011967032159697514,0.1148297898890989,0.006030241445120066,0.0
2020-01-21,0.8994769620428419,0.10052303795715818,0.32615916223315033,0.6738408377668497,0.04435624714318549,0.00012806812033591688,0.14576662900126927,0.010369919414597717,0.0
2020-01-22,0.9231312821836613,0.07686871781633871,0.27620007198762553,0.7237999280123745,0.04272719620580114,0.0001546492738063716,0.1348297880243144,0.010253411007845404,0.0
2020-01-23,0.7709525115118103,0.22904748848818973,0.08066077026326471,0.9193392297367353,0.04037113299820594,0.0001122767462909749,0.12478401342534809,0.007175893382061248,0.0
2020-01-24,0.8991594602885228,0.10084053971147729,0.2806035714588568,0.7193964285411432,0.05336534966629814,0.00022079904731591243,0.16770019222576343,0.00838536171318629,0.0
2020-01-27,0.958289580308657,0.041710419691343044,0.054668527289887824,0.9453314727101121,0.07755876452692714,0.0007051065396402904,0.3024115407959695,0.03239104204576402,0.0
2020-01-28,0.6758100159750918,0.3241899840249083,0.15715118680233392,0.842848813197666,0.049356940379200354,0.00021614090916580324,0.15667261806222138,0.010096934889278292,0.0
2020-01-29,0.8930985589555076,0.10690144104449245,0.028970833921920562,0.9710291660780794,0.34248185448387547,0.027074204693209532,0.709367463570855,0.06652822003963597,0.0
2020-01-30,0.753465513519385,0.2465344864806151,0.14178684274981254,0.8582131572501875,0.062027790328694286,0.000388739989034508,0.20007449403783725,0.01212340070709737,0.0
